都道府県市区町村コード,市区町村名,基準メッシュコード,備考
32201,松江市,53330044,
32201,松江市,53330045,
32201,松江市,53330046,
32201,松江市,53330047,
32201,松江市,53330048,
32201,松江市,53330049,
32201,松江市,53330050,
32201,松江市,53330051,
32201,松江市,53330052,
32201,松江市,53330053,
32201,松江市,53330054,
32201,松江市,53330055,
32201,松江市,53330056,
32201,松江市,53330057,
32201,松江市,53330058,
32201,松江市,53330059,
32201,松江市,53330060,
32201,松江市,53330061,
32201,松江市,53330062,
32201,松江市,53330063,
32201,松江市,53330064,
32201,松江市,53330065,
32201,松江市,53330066,
32201,松江市,53330067,
32201,松江市,53330068,
32201,松江市,53330069,
32201,松江市,53330070,
32201,松江市,53330071,
32201,松江市,53330072,
32201,松江市,53330073,
32201,松江市,53330074,
32201,松江市,53330075,
32201,松江市,53330076,
32201,松江市,53330077,
32201,松江市,53330078,
32201,松江市,53330079,
32201,松江市,53330080,
32201,松江市,53330081,
32201,松江市,53330082,
32201,松江市,53330083,
32201,松江市,53330084,
32201,松江市,53330085,
32201,松江市,53330086,
32201,松江市,53330087,
32201,松江市,53330088,
32201,松江市,53330089,
32201,松江市,53330090,
32201,松江市,53330091,
32201,松江市,53330092,
32201,松江市,53330093,
32201,松江市,53330094,
32201,松江市,53330095,
32201,松江市,53330096,
32201,松江市,53330097,
32201,松江市,53330098,
32201,松江市,53330099,
32201,松江市,53330130,
32201,松江市,53330140,
32201,松江市,53330141,
32201,松江市,53330150,
32201,松江市,53330151,
32201,松江市,53330152,
32201,松江市,53330160,
32201,松江市,53330161,
32201,松江市,53330162,
32201,松江市,53330163,
32201,松江市,53330170,
32201,松江市,53330171,
32201,松江市,53330172,
32201,松江市,53330173,
32201,松江市,53330174,
32201,松江市,53330180,
32201,松江市,53330181,
32201,松江市,53330182,
32201,松江市,53330183,
32201,松江市,53330184,
32201,松江市,53330190,
32201,松江市,53330191,
32201,松江市,53330192,
32201,松江市,53330193,
32201,松江市,53330194,
32201,松江市,53331000,
32201,松江市,53331001,
32201,松江市,53331002,
32201,松江市,53331003,
32201,松江市,53331004,
32201,松江市,53331005,
32201,松江市,53331006,
32201,松江市,53331007,
32201,松江市,53331008,
32201,松江市,53331009,
32201,松江市,53331010,
32201,松江市,53331011,
32201,松江市,53331012,
32201,松江市,53331013,
32201,松江市,53331014,
32201,松江市,53331015,
32201,松江市,53331016,
32201,松江市,53331017,
32201,松江市,53331018,
32201,松江市,53331019,
32201,松江市,53331020,
32201,松江市,53331021,
32201,松江市,53331022,
32201,松江市,53331023,
32201,松江市,53331024,
32201,松江市,53331025,
32201,松江市,53331026,
32201,松江市,53331027,
32201,松江市,53331028,
32201,松江市,53331029,
32201,松江市,53331030,
32201,松江市,53331031,
32201,松江市,53331032,
32201,松江市,53331033,
32201,松江市,53331034,
32201,松江市,53331035,
32201,松江市,53331036,
32201,松江市,53331037,
32201,松江市,53331038,
32201,松江市,53331039,
32201,松江市,53331040,
32201,松江市,53331041,
32201,松江市,53331042,
32201,松江市,53331043,
32201,松江市,53331044,
32201,松江市,53331045,
32201,松江市,53331046,
32201,松江市,53331047,
32201,松江市,53331048,
32201,松江市,53331049,
32201,松江市,53331050,
32201,松江市,53331051,
32201,松江市,53331052,
32201,松江市,53331053,
32201,松江市,53331054,
32201,松江市,53331055,
32201,松江市,53331056,
32201,松江市,53331057,
32201,松江市,53331058,
32201,松江市,53331059,
32201,松江市,53331060,
32201,松江市,53331061,
32201,松江市,53331062,
32201,松江市,53331063,
32201,松江市,53331064,
32201,松江市,53331065,
32201,松江市,53331066,
32201,松江市,53331067,
32201,松江市,53331068,
32201,松江市,53331069,
32201,松江市,53331070,
32201,松江市,53331071,
32201,松江市,53331072,
32201,松江市,53331073,
32201,松江市,53331074,
32201,松江市,53331075,
32201,松江市,53331076,
32201,松江市,53331077,
32201,松江市,53331078,
32201,松江市,53331079,
32201,松江市,53331080,
32201,松江市,53331081,
32201,松江市,53331082,
32201,松江市,53331083,
32201,松江市,53331084,
32201,松江市,53331085,
32201,松江市,53331086,
32201,松江市,53331087,
32201,松江市,53331088,
32201,松江市,53331089,
32201,松江市,53331090,
32201,松江市,53331091,
32201,松江市,53331092,
32201,松江市,53331093,
32201,松江市,53331094,
32201,松江市,53331095,
32201,松江市,53331096,
32201,松江市,53331097,
32201,松江市,53331098,
32201,松江市,53331099,
32201,松江市,53331100,
32201,松江市,53331101,
32201,松江市,53331102,
32201,松江市,53331103,
32201,松江市,53331104,
32201,松江市,53331110,
32201,松江市,53331111,
32201,松江市,53331112,
32201,松江市,53331113,
32201,松江市,53331114,
32201,松江市,53331115,
32201,松江市,53331120,
32201,松江市,53331121,
32201,松江市,53331122,
32201,松江市,53331123,
32201,松江市,53331124,
32201,松江市,53331125,
32201,松江市,53331130,
32201,松江市,53331131,
32201,松江市,53331132,
32201,松江市,53331133,
32201,松江市,53331134,
32201,松江市,53331135,
32201,松江市,53331140,
32201,松江市,53331141,
32201,松江市,53331142,
