municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
27203,豊中市,52351375,34.81666666666666,34.80833333333333,135.4375,135.45,
27203,豊中市,52351376,34.81666666666666,34.80833333333333,135.45,135.46249999999998,
27203,豊中市,52351377,34.81666666666666,34.80833333333333,135.4625,135.475,
27203,豊中市,52351378,34.81666666666666,34.80833333333333,135.475,135.48749999999998,
27203,豊中市,52351379,34.81666666666666,34.80833333333333,135.4875,135.5,
27203,豊中市,52351387,34.825,34.81666666666667,135.4625,135.475,
27203,豊中市,52351388,34.825,34.81666666666667,135.475,135.48749999999998,
27203,豊中市,52351389,34.825,34.81666666666667,135.4875,135.5,
27203,豊中市,52351430,34.78333333333333,34.775,135.5,135.5125,
27203,豊中市,52351450,34.8,34.791666666666664,135.5,135.5125,
27203,豊中市,52351460,34.80833333333333,34.8,135.5,135.5125,
27203,豊中市,52351470,34.81666666666666,34.80833333333333,135.5,135.5125,
27203,豊中市,52351480,34.825,34.81666666666667,135.5,135.5125,
27204,池田市,52351354,34.8,34.791666666666664,135.425,135.4375,
27204,池田市,52351355,34.8,34.791666666666664,135.4375,135.45,
27204,池田市,52351363,34.80833333333333,34.8,135.4125,135.42499999999998,
27204,池田市,52351364,34.80833333333333,34.8,135.425,135.4375,
27204,池田市,52351365,34.80833333333333,34.8,135.4375,135.45,
27204,池田市,52351366,34.80833333333333,34.8,135.45,135.46249999999998,
27204,池田市,52351373,34.81666666666666,34.80833333333333,135.4125,135.42499999999998,
27204,池田市,52351374,34.81666666666666,34.80833333333333,135.425,135.4375,
27204,池田市,52351375,34.81666666666666,34.80833333333333,135.4375,135.45,
27204,池田市,52351383,34.825,34.81666666666667,135.4125,135.42499999999998,
27204,池田市,52351384,34.825,34.81666666666667,135.425,135.4375,
27204,池田市,52351385,34.825,34.81666666666667,135.4375,135.45,
27204,池田市,52351386,34.825,34.81666666666667,135.45,135.46249999999998,
27204,池田市,52351393,34.833333333333336,34.825,135.4125,135.42499999999998,
27204,池田市,52351394,34.833333333333336,34.825,135.425,135.4375,
27204,池田市,52351395,34.833333333333336,34.825,135.4375,135.45,
27204,池田市,52351396,34.833333333333336,34.825,135.45,135.46249999999998,
27204,池田市,52352303,34.84166666666667,34.833333333333336,135.4125,135.42499999999998,
27204,池田市,52352304,34.84166666666667,34.833333333333336,135.425,135.4375,
27204,池田市,52352305,34.84166666666667,34.833333333333336,135.4375,135.45,
27204,池田市,52352306,34.84166666666667,34.833333333333336,135.45,135.46249999999998,
27204,池田市,52352313,34.85,34.84166666666667,135.4125,135.42499999999998,
27204,池田市,52352314,34.85,34.84166666666667,135.425,135.4375,
27204,池田市,52352315,34.85,34.84166666666667,135.4375,135.45,
27204,池田市,52352316,34.85,34.84166666666667,135.45,135.46249999999998,
27204,池田市,52352323,34.858333333333334,34.85,135.4125,135.42499999999998,
27204,池田市,52352324,34.858333333333334,34.85,135.425,135.4375,
27204,池田市,52352325,34.858333333333334,34.85,135.4375,135.45,
27204,池田市,52352326,34.858333333333334,34.85,135.45,135.46249999999998,
27204,池田市,52352334,34.86666666666667,34.858333333333334,135.425,135.4375,
27204,池田市,52352335,34.86666666666667,34.858333333333334,135.4375,135.45,
27204,池田市,52352336,34.86666666666667,34.858333333333334,135.45,135.46249999999998,
27204,池田市,52352344,34.875,34.86666666666667,135.425,135.4375,
27204,池田市,52352345,34.875,34.86666666666667,135.4375,135.45,
27204,池田市,52352354,34.88333333333333,34.875,135.425,135.4375,
27204,池田市,52352355,34.88333333333333,34.875,135.4375,135.45,
27205,吹田市,52350399,34.75,34.74166666666667,135.4875,135.5,
27205,吹田市,52350490,34.75,34.74166666666667,135.5,135.5125,
27205,吹田市,52350491,34.75,34.74166666666667,135.5125,135.52499999999998,
27205,吹田市,52350492,34.75,34.74166666666667,135.525,135.5375,
27205,吹田市,52351308,34.75833333333333,34.75,135.475,135.48749999999998,
27205,吹田市,52351309,34.75833333333333,34.75,135.4875,135.5,
27205,吹田市,52351319,34.766666666666666,34.75833333333333,135.4875,135.5,
27205,吹田市,52351329,34.775,34.766666666666666,135.4875,135.5,
27205,吹田市,52351339,34.78333333333333,34.775,135.4875,135.5,
27205,吹田市,52351349,34.791666666666664,34.78333333333333,135.4875,135.5,
27205,吹田市,52351359,34.8,34.791666666666664,135.4875,135.5,
27205,吹田市,52351389,34.825,34.81666666666667,135.4875,135.5,
27205,吹田市,52351399,34.833333333333336,34.825,135.4875,135.5,
27205,吹田市,52351400,34.75833333333333,34.75,135.5,135.5125,
27205,吹田市,52351401,34.75833333333333,34.75,135.5125,135.52499999999998,
27205,吹田市,52351402,34.75833333333333,34.75,135.525,135.5375,
27205,吹田市,52351410,34.766666666666666,34.75833333333333,135.5,135.5125,
27205,吹田市,52351411,34.766666666666666,34.75833333333333,135.5125,135.52499999999998,
27205,吹田市,52351412,34.766666666666666,34.75833333333333,135.525,135.5375,
27205,吹田市,52351413,34.766666666666666,34.75833333333333,135.5375,135.54999999999998,
27205,吹田市,52351420,34.775,34.766666666666666,135.5,135.5125,
27205,吹田市,52351421,34.775,34.766666666666666,135.5125,135.52499999999998,
27205,吹田市,52351422,34.775,34.766666666666666,135.525,135.5375,
